Size;DataType;Algorithm;Comparisons;Swaps;Time_us
10;random;bubble_flagged;45;25;1
10;random;shaker;39;25;1
10;random;odd_even;54;25;1
10;nearly_sorted;bubble_flagged;17;1;0
10;nearly_sorted;shaker;17;1;0
10;nearly_sorted;odd_even;18;1;0
10;reversed;bubble_flagged;45;45;0
10;reversed;shaker;45;45;1
10;reversed;odd_even;54;45;0
100;random;bubble_flagged;4740;2402;51
100;random;shaker;3960;2402;47
100;random;odd_even;4653;2402;50
100;nearly_sorted;bubble_flagged;4650;556;31
100;nearly_sorted;shaker;855;556;9
100;nearly_sorted;odd_even;4950;556;35
100;reversed;bubble_flagged;4950;4950;58
100;reversed;shaker;4950;4950;59
100;reversed;odd_even;5049;4950;60
500;random;bubble_flagged;124540;64923;1300
500;random;shaker;99099;64923;1175
500;random;odd_even;119760;64923;1467
500;nearly_sorted;bubble_flagged;123475;14391;694
500;nearly_sorted;shaker;22824;14391;192
500;nearly_sorted;odd_even;112774;14391;1865
500;reversed;bubble_flagged;124750;124746;1285
500;reversed;shaker;124750;124746;1098
500;reversed;odd_even;125249;124746;1053
1000;random;bubble_flagged;498797;252115;3806
1000;random;shaker;377235;252115;2987
1000;random;odd_even;482517;252115;3382
1000;nearly_sorted;bubble_flagged;496725;59623;2014
1000;nearly_sorted;shaker;101222;59623;563
1000;nearly_sorted;odd_even;463536;59623;2331
1000;reversed;bubble_flagged;499500;499492;3040
1000;reversed;shaker;499500;499492;2663
1000;reversed;odd_even;500499;499492;2808
2000;random;bubble_flagged;1997230;1009797;8424
2000;random;shaker;1487434;1009797;7386
2000;random;odd_even;1973013;1009797;6649
2000;nearly_sorted;bubble_flagged;1977055;236408;5062
2000;nearly_sorted;shaker;388885;236408;1370
2000;nearly_sorted;odd_even;1791104;236408;5299
2000;reversed;bubble_flagged;1999000;1998973;7162
2000;reversed;shaker;1999000;1998973;6635
2000;reversed;odd_even;2000999;1998973;6872
5000;random;bubble_flagged;12492940;6215706;37515
5000;random;shaker;9416097;6215706;30816
5000;random;odd_even;12262547;6215706;32738
5000;nearly_sorted;bubble_flagged;12482965;1486924;25280
5000;nearly_sorted;shaker;2234785;1486924;6193
5000;nearly_sorted;odd_even;12072585;1486924;29366
5000;reversed;bubble_flagged;12497500;12497311;38287
5000;reversed;shaker;12497500;12497311;37979
5000;reversed;odd_even;12502499;12497311;42852
10000;random;bubble_flagged;49992654;25003962;172201
10000;random;shaker;37647035;25003962;132367
10000;random;odd_even;49665033;25003962;142070
10000;nearly_sorted;bubble_flagged;49868244;5884412;102515
10000;nearly_sorted;shaker;8821725;5884412;25302
10000;nearly_sorted;odd_even;47485251;5884412;114474
10000;reversed;bubble_flagged;49995000;49994223;157818
10000;reversed;shaker;49995000;49994223;152125
10000;reversed;odd_even;50004999;49994223;258360
